acting	action	actor	actors	audience	back	bad	big	bit	cast	character	characters	comedy	completely	day	dialogue	director	doesn	effects	end	fact	film	find	fun	funny	girl	give	good	great	guy	hard	hollywood	home	interesting	john	kind	life	long	lot	love	make	man	minutes	money	movie	movies	original	part	people	performance	picture	place	plot	point	pretty	problem	real	reason	rest	role	scene	screen	script	sense	series	set	sex	show	special	star	story	supposed	takes	thing	time	watch	wife	woman	work	world	worst	year	years	young	american	black	city	death	ending	family	father	feel	high	job	men	mother	music	performances	TRUE	war	class
0	0	0	0	1.935172	0.645057	0	0	0.645057	0	0.645057	1.290115	0	0	0.645057	0	0	0.645057	0	0.645057	0.645057	5.805517	0	0	1.935172	0	0	0	0.645057	0	0	0	0	0.645057	1.290115	0	0.645057	0.645057	0	1.290115	0.645057	1.935172	0	0	5.805517	0	0	0.645057	0	0.645057	0.645057	0.645057	0.645057	1.935172	0.645057	0	0	0.645057	0	0	0.645057	0.645057	0	0	0	0	1.935172	1.290115	0	1.290115	1.290115	0	0	0.645057	0	0	0	0	0	0	0	0	0	0	1.290115	0	0	0	0	0	0	0.645057	0	0	0	0	1.290115	0	0	0	0
0	0	0	0	0	0	0	0	1.217301	0	0	0	0	1.217301	1.217301	0	3.651904	0	0	0	0	4.869205	0	0	0	4.869205	1.217301	0	0	0	0	1.217301	2.434602	0	0	1.217301	0	1.217301	2.434602	0	1.217301	4.869205	0	0	2.434602	0	0	0	0	2.434602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.434602	0	0	1.217301	0	0	0	0	0	0	0	0	0	1.217301	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1.981117	3.962235	0	0	0	1.981117	0	0	0	0	0	3.962235	0	0	0	0	0	0	0	0	0	0	0	1.981117	0	0	1.981117	0	0	0	0	0	1.981117	0	3.962235	1.981117	3.962235	0	0	0	0	0	1.981117	0	0	0	0	1.981117	0	0	0	0	0	1.981117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.943352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.981117	0	0	0
0	0	0	2.981767	0	0	0.993922	0	0.993922	1.987845	1.987845	1.987845	5.963534	0	0.993922	0	0.993922	0	0	0	0	3.975689	0	0.993922	0.993922	0	0	0	0.993922	0	0	0	0	0	0	0	0.993922	0.993922	0.993922	0.993922	0.993922	0	1.987845	0	1.987845	3.975689	0	0	0.993922	0	0	0	1.987845	0.993922	0	0	0.993922	0	0	0.993922	0.993922	0.993922	0	0	0	1.987845	0	0.993922	0	0	0	0	0	0	3.975689	0	0.993922	0	0.993922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993922	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	2.782982	1.391491	0	1.391491	0	1.391491	0	1.391491	0	1.391491	1.391491	5.565965	1.391491	0	0	0	0	0	1.391491	1.391491	0	0	0	0	1.391491	0	1.391491	0	0	1.391491	0	1.391491	1.391491	1.391491	4.174474	0	0	0	0	0	0	0	1.391491	0	0	0	0	0	0	0	0	0	0	0	0	1.391491	0	1.391491	0	0	0	0	0	0	4.174474	1.391491	2.782982	0	0	0	0	0	0	0	0	0	0	1.391491	0	1.391491	0	0	0	0	4.174474	0	0	0	0	0	0
0	0	0	0	0.990559	0.990559	0.990559	0.990559	0	0	1.981117	2.971676	0	0	0.990559	0	0	0.990559	0	0	0	2.971676	0.990559	0.990559	0	0	0	0.990559	0	0	0	0	0	0	0	0	0.990559	0	0	0.990559	0.990559	0	1.981117	0	2.971676	2.971676	4.952794	0.990559	2.971676	0	0	0	0	0	0	0	0	0.990559	0	0	0	0.990559	0	0	0	0	0	0.990559	0	0	1.981117	0	0	0	0	0	0	0	0	0	0	0.990559	0	0	0	0.990559	0	0	0.990559	0	0	0	0	0	0	0	0	0	0	0	0
0	0.843715	0	0	0	0	3.374862	2.531146	0	0	0	0.843715	0	0	0	0	0	0	0	1.687431	3.374862	4.218577	0	0	0	0	0	4.218577	1.687431	0.843715	0	0	0	0.843715	0	0	0	0	0	0	0.843715	0	0	0	7.593439	0	0.843715	0	0.843715	0	0	0	1.687431	0	0	0	0	0	0	0	0	0.843715	0	0	0	0	0	0	0	0	0.843715	0	0	1.687431	0.843715	0.843715	0	0	0.843715	0	0	0.843715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2.200141	0	0	0	0	0	0	0	0	0	0	2.200141	0	4.400281	2.200141	0	0	0	0	2.200141	0	0	2.200141	0	0	0	0	0	6.600422	0	0	0	0	0	2.200141	0	2.200141	0	0	0	0	0	2.200141	2.200141	0	2.200141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.400281	0	0	0	2.200141	0	0	0	0	2.200141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.065139	0	1.065139	0	1.065139	0	2.130277	1.065139	1.065139	0	1.065139	0	0	0	1.065139	1.065139	0	1.065139	0	1.065139	0	4.260554	1.065139	1.065139	0	0	2.130277	3.195416	1.065139	0	0	2.130277	1.065139	0	0	0	0	2.130277	0	0	1.065139	0	0	0	1.065139	0	0	0	1.065139	0	0	0	0	0	0	1.065139	0	0	0	0	0	0	0	0	0	1.065139	0	1.065139	0	0	0	2.130277	0	2.130277	1.065139	0	0	0	0	0	1.065139	2.130277	1.065139	0	2.130277	0	3.195416	0	0	0	0	1.065139	0	0	1.065139	0	0	0	0	0	0
0	0	0	0	0	0	1.014849	0	0	0	0	2.029698	0	0	0	0	0	0	0	0	0	5.074246	0	0	0	0	1.014849	0	0	0	0	0	1.014849	0	0	0	7.103945	0	0	0	0	0	1.014849	0	2.029698	0	0	0	0	0	1.014849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.074246	0	0	2.029698	1.014849	0	0	0	1.014849	1.014849	0	3.044548	1.014849	0	0	0	0	0	0	0	0	0	0	1.014849	0	0	0	0	0	0	0
0	8.488017	0	0	0	0	1.061002	0	0	0	1.061002	0	0	0	1.061002	0	1.061002	1.061002	0	0	0	2.122004	0	1.061002	0	0	1.061002	0	0	0	0	2.122004	0	0	0	0	0	0	0	0	0	0	1.061002	0	3.183006	0	0	1.061002	0	1.061002	1.061002	0	4.244008	0	0	0	0	0	0	0	0	1.061002	0	0	0	0	0	0	0	1.061002	0	0	0	0	3.183006	0	0	0	1.061002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.061002	0	0	0	1.061002	0	0	0
0	0	0	0	1.59615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.980749	0	0	1.59615	0	1.59615	0	0	0	3.1923	0	0	0	1.59615	0	0	0	0	0	1.59615	0	0	0	4.78845	0	0	0	1.59615	1.59615	0	0	0	0	0	0	0	0	0	1.59615	3.1923	0	0	0	0	0	0	0	0	0	0	0	1.59615	0	0	0	0	0	0	0	1.59615	1.59615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2.512738	2.512738	0	0	0	0	0	0	2.512738	0	5.025476	0	0	2.512738	0	0	0	2.512738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.512738	0	0	5.025476	0	5.025476	0	0	2.512738	0	0	0	0	0	0	0	0	2.512738	0	0	0	0	0	0	0	2.512738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	5.259342	0	0	0	0	0	0	0	0	0	0	0	5.259342	2.629671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.629671	0	0	0	0	0	0	0	0	0	0	2.629671	0	0	0	0	0	0	2.629671	0	0	0	0	0	0	2.629671	0	0	0	0	0	0	0	0	0	2.629671	2.629671	0	0	0	0	2.629671	0	0	0	0	0	0	0	0	0	2.629671	2.629671	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1.138681	1.138681	0	1.138681	0	0	1.138681	0	0	0	2.277362	0	0	1.138681	0	0	0	1.138681	0	0	3.416043	0	0	1.138681	0	3.416043	1.138681	1.138681	1.138681	1.138681	0	0	0	3.416043	0	0	0	0	1.138681	1.138681	0	0	0	0	0	1.138681	0	0	1.138681	1.138681	0	1.138681	0	0	1.138681	0	4.554724	1.138681	0	0	0	0	0	1.138681	1.138681	2.277362	0	1.138681	0	0	0	0	2.277362	0	0	0	0	0	2.277362	4.554724	1.138681	0	0	0	3.416043	0	0	0	0	0
0.663367	0	0	0	0	0	4.643572	1.326735	0	0	1.326735	0.663367	0	0.663367	0	2.65347	0.663367	1.326735	0.663367	0	0.663367	5.970306	0	0	0	0	0.663367	1.326735	0	0	0	0	0	0.663367	0	0	0.663367	0	0	0	1.326735	1.326735	0.663367	0	1.326735	0	0	0.663367	0.663367	0.663367	0	0	0.663367	0	0	0.663367	0	0	0	0	0.663367	0	0.663367	1.326735	1.990102	0.663367	0	0	0	0	0	0.663367	0	0	0.663367	0	1.326735	0	0	0	1.326735	0.663367	0	0	0	0	0	0.663367	0	0	0	0	0	0	0	0	0	0.663367	0.663367	0	0
0	0	0	0	1.483335	1.483335	0	0	0	0	2.966669	0	0	0	0	0	0	0	0	0	0	5.933338	1.483335	0	0	0	0	1.483335	0	0	0	0	0	0	1.483335	1.483335	0	0	0	1.483335	0	0	0	0	5.933338	0	1.483335	1.483335	1.483335	0	0	1.483335	1.483335	0	1.483335	0	0	0	0	0	0	0	0	1.483335	2.966669	0	0	1.483335	0	0	0	1.483335	0	1.483335	0	0	0	0	0	1.483335	0	0	0	0	0	0	1.483335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.485863	0	1.242931	3.728794	2.485863	0	4.971726	1.242931	0	2.485863	1.242931	0	1.242931	0	0	0	1.242931	0	0	2.485863	0	3.728794	1.242931	0	0	0	1.242931	2.485863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.728794	0	1.242931	0	0	0	2.485863	0	1.242931	0	0	0	0	0	0	0	0	0	2.485863	0	0	1.242931	0	1.242931	0	1.242931	1.242931	0	0	0	1.242931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1.400862	0	0	0	0	0	0	0	0	0	0	0	0	0	1.400862	5.603446	0	0	1.400862	0	0	0	0	0	0	0	0	0	0	1.400862	0	0	0	1.400862	0	0	0	0	7.004308	0	0	0	0	1.400862	0	0	1.400862	0	0	0	0	0	0	0	2.801723	0	4.202585	0	0	2.801723	0	0	0	0	0	0	1.400862	0	1.400862	0	0	0	0	0	2.801723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.400862	0	0	0
0	0	0	1.355806	2.711612	0	0	1.355806	0	0	0	1.355806	0	0	0	0	0	2.711612	0	0	1.355806	6.77903	0	0	0	0	1.355806	0	1.355806	0	0	1.355806	1.355806	0	0	0	1.355806	0	0	0	2.711612	0	0	0	0	0	1.355806	0	1.355806	0	0	0	1.355806	2.711612	0	0	0	1.355806	0	0	0	0	0	1.355806	1.355806	0	0	0	0	0	1.355806	0	0	0	1.355806	0	1.355806	0	1.355806	0	1.355806	1.355806	0	0	0	0	4.067418	0	0	1.355806	0	0	1.355806	0	0	0	0	0	0	0	0
0	0	0	0	1.420185	1.420185	0	1.420185	0	0	1.420185	1.420185	0	0	0	0	0	4.260554	0	0	0	5.680739	0	0	0	1.420185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.420185	0	0	0	4.260554	1.420185	0	1.420185	2.840369	1.420185	0	0	0	1.420185	0	0	0	1.420185	0	2.840369	2.840369	0	0	0	1.420185	0	0	0	0	1.420185	1.420185	1.420185	0	0	1.420185	0	0	0	0	0	0	0	0	0	0	0	0	1.420185	0	2.840369	1.420185	0	0	0	0	1.420185	0	1.420185	0	0	0
0	0	0	0	0	0.704007	0.704007	0.704007	0	0	2.112022	2.112022	0	0.704007	0	0.704007	1.408015	0	1.408015	0.704007	0.704007	9.152097	0	0.704007	0	0	0.704007	2.112022	0	0	0	0.704007	0.704007	0	0	0	0.704007	0.704007	0	0	0.704007	1.408015	2.112022	0	0	0	0	0.704007	0	0.704007	0	0	1.408015	0	0	0	0.704007	0	0	0.704007	0	0.704007	0.704007	0	0	1.408015	0	0	0	0	0	0	0.704007	0	0.704007	0	1.408015	0	0	1.408015	0	0	0	0.704007	0	0	0	0.704007	0	0	0	0	0.704007	0	1.408015	0	0.704007	0.704007	0	0	0
0	1.263253	0	1.263253	0	1.263253	1.263253	1.263253	1.263253	1.263253	1.263253	0	0	0	0	0	1.263253	1.263253	5.053013	0	0	5.053013	2.526506	0	0	0	0	0	0	0	0	0	0	1.263253	1.263253	0	0	0	0	0	1.263253	0	0	0	1.263253	0	1.263253	0	0	0	0	1.263253	1.263253	0	0	0	0	0	0	0	0	0	2.526506	0	2.526506	1.263253	0	1.263253	0	1.263253	1.263253	0	0	0	2.526506	0	0	0	0	0	0	0	2.526506	1.263253	0	0	0	0	0	0	0	0	0	0	0	1.263253	0	0	0	0	0
0.964826	0	0	0	0.964826	4.824128	0	0	0	0	0	3.859302	0	0.964826	0	0	0	0	0	0.964826	0	5.788953	0	0	0	0	0	0.964826	0	0	0	0	0.964826	0	0	0.964826	2.894477	1.929651	0	0.964826	0.964826	0	1.929651	0	2.894477	0	0	0	0.964826	0	0.964826	0	0.964826	0	0	0	0.964826	0	0	0	0	0.964826	0	0	0	0	0	0	0	0	0.964826	0	0	0.964826	2.894477	0	0	0.964826	0	0	0.964826	0	2.894477	0	0	0	0	0	1.929651	0	0	0	0	0.964826	0	0.964826	0	0	0	0	0
0.935313	0.935313	0	0	0	0.935313	2.805939	0	0	0	1.870626	4.676566	0	0	0	0	0	1.870626	0	0.935313	0	1.870626	0	0	0	0	0.935313	2.805939	0	0.935313	0	0.935313	0.935313	0	0	0.935313	0	0	0.935313	0	0.935313	0	0.935313	0	4.676566	0.935313	0.935313	0	0	0.935313	0	0	2.805939	0.935313	1.870626	0	0	0.935313	0	0	1.870626	0	0.935313	0	0	0	0	0	0	0	1.870626	0.935313	0	0	0	0	0	0	0.935313	0	0	0	0.935313	0.935313	0	0	0.935313	0.935313	0	0	0	1.870626	0	1.870626	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1.518241	0	0	0	1.518241	0	0	1.518241	0	0	1.518241	0	3.036483	0	6.072965	0	0	1.518241	0	1.518241	0	0	0	0	0	0	0	0	1.518241	0	0	0	0	0	6.072965	0	3.036483	0	3.036483	0	0	0	1.518241	0	1.518241	0	0	0	0	1.518241	0	0	1.518241	0	0	0	0	0	0	0	0	0	1.518241	0	1.518241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.518241	0	0	0	0	0	0	0	0	0
0	3.562854	0.712571	0	0	0	2.850284	0	0.712571	0	2.850284	0	0	0.712571	0	0	2.137713	0	1.425142	0	0	4.987996	0.712571	0	0	0	2.137713	1.425142	0	1.425142	1.425142	0	0	0	2.850284	2.850284	0	1.425142	0	0	1.425142	0.712571	0.712571	0	1.425142	0.712571	0	0.712571	0	0.712571	1.425142	0	4.987996	0	0	0.712571	0	0	0	0.712571	1.425142	0	0	0.712571	0	2.137713	0	0.712571	0.712571	0	1.425142	0	0.712571	0.712571	0	0	0	0	0	0	0	0	0	0	0.712571	0	0	0.712571	0	0	0	0	0	0	0.712571	0	0.712571	0	0	0	0
0	1.249596	0	0	0	0	1.249596	0	0	0	0	0	1.249596	0	1.249596	0	2.499192	0	0	2.499192	0	3.748788	0	0	0	0	1.249596	1.249596	0	0	2.499192	0	0	0	0	0	0	0	0	1.249596	1.249596	0	0	0	3.748788	0	0	0	0	0	0	0	4.998384	0	0	0	2.499192	0	0	0	0	0	0	0	0	0	0	2.499192	0	0	1.249596	0	0	1.249596	2.499192	1.249596	0	0	1.249596	0	0	0	1.249596	2.499192	0	0	0	0	0	0	1.249596	0	0	0	0	0	0	0	0	0	0
2.991961	0	0	0	0	0.99732	3.989281	0	0	0	0	0	0	0	0	0.99732	0	0	3.989281	0	0.99732	3.989281	0.99732	0	0	0	0	0.99732	0	0	0	0	0.99732	0	0	0	0	0	0.99732	0	0	0.99732	0.99732	0.99732	3.989281	0.99732	0	0	0	0	0	0.99732	1.994641	0.99732	0	0	0.99732	0	0.99732	0	0	0	0	0	0	0	0	0	3.989281	0	1.994641	0	0	0.99732	0	0	0	0	0	0	0	0	0	0	0	0	4.986601	0	0	0	0	0	0	0.99732	0.99732	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	3.859302	0	0	0	0	0	0	1.929651	1.929651	0	0	0	7.718604	0	0	1.929651	0	0	0	0	0	0	0	1.929651	1.929651	0	0	0	0	0	0	0	0	0	1.929651	0	0	3.859302	0	1.929651	3.859302	0	0	0	0	0	0	0	0	0	1.929651	1.929651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.929651	0	0	0
1.753114	0	0	0	0	0	2.629671	0.876557	0	0	0	0	0	0	0	0.876557	0	0.876557	3.506228	1.753114	2.629671	7.889013	0.876557	0	0	0	0	1.753114	1.753114	0	0	0.876557	0	0.876557	0.876557	0.876557	0	0.876557	0	0	0.876557	0.876557	0	0	1.753114	0	0	1.753114	0	0	0	0	0.876557	0	0	0	0	0	0	0.876557	0	0	0	0	0	0.876557	0	0	0.876557	0.876557	0	0	0	0.876557	1.753114	1.753114	0	0	0.876557	0	1.753114	0	0	0	0.876557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.181665	0	0	1.181665	0	0	0	2.36333	0	0	0	0	0	0	0	0	0	1.181665	0	0	0	2.36333	0	0	0	0	0	1.181665	0	0	1.181665	0	0	0	0	1.181665	0	0	1.181665	1.181665	0	0	0	0	7.089991	0	0	0	0	1.181665	1.181665	0	0	0	1.181665	0	0	0	0	0	0	1.181665	0	0	0	1.181665	0	0	0	0	2.36333	0	0	1.181665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.181665	0	0	0	0
2.130277	2.130277	0	0	0	0	0	2.130277	0	0	0	0	0	0	0	0	0	0	2.130277	0	0	0	2.130277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.130277	0	2.130277	2.130277	2.130277	0	4.260554	4.260554	2.130277	2.130277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.130277	4.260554	2.130277	0	0	0	0	0	0	0	0	0	2.130277	2.130277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.721524	0	0	0	0	0.573841	0	0	0	0	2.869206	0	0	0	0	0	1.147683	0	0	1.147683	0	0	0.573841	0	0	0	0	1.721524	0.573841	0	0	0	0	2.869206	0	0.573841	0	0.573841	0.573841	0	1.147683	0	0	0	9.181461	0.573841	0.573841	1.147683	0.573841	0	0	0	0	0	0.573841	0	0	0.573841	0	0.573841	0	0	0	0	0	0	0	0.573841	0	0	4.016889	0	0	0	0	0.573841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1.518241	6.072965	0	0	0	0	0	0	1.518241	1.518241	0	1.518241	0	0	0	0	0	3.036483	1.518241	0	0	0	1.518241	0	0	0	0	0	1.518241	0	1.518241	0	0	0	6.072965	0	0	0	1.518241	0	0	0	1.518241	0	0	3.036483	0	0	0	0	1.518241	1.518241	0	1.518241	0	3.036483	0	0	0	0	0	0	1.518241	0	0	0	0	0	0	0	0	0	0	0	1.518241	0	0	0	0	0	0	0	1.518241	0	0	0	0	0	0	0	0
0	0	0	1.128648	2.257297	0	0	0	1.128648	0	0	1.128648	1.128648	0	0	0	2.257297	1.128648	0	0	2.257297	1.128648	0	0	1.128648	0	0	0	0	0	0	0	0	0	1.128648	0	0	0	0	0	1.128648	0	1.128648	1.128648	6.77189	1.128648	0	0	3.385945	0	1.128648	0	0	1.128648	0	0	0	0	0	0	0	1.128648	0	0	0	0	0	0	0	0	5.643242	0	0	0	3.385945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.128648	0	0	0	0	0	1.128648	0	0	0
0	1.917399	0	0	0	0.9587	0.9587	0	0	0	0.9587	0.9587	0	2.876099	0	0	0	1.917399	0.9587	0	0.9587	3.834798	0	0	0	0.9587	0	2.876099	0	0.9587	0	0	0	0	0	0.9587	0	2.876099	0	0	3.834798	0.9587	0	0.9587	1.917399	0.9587	1.917399	0	2.876099	0	0	0	2.876099	0	0	0	0	0	0	0	0	0	0	0.9587	0	0.9587	0	0	0.9587	0	4.793498	0.9587	0.9587	0.9587	1.917399	0.9587	0	0.9587	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9587	0	0	0	0	0	0	0	0	0
0	0	0	0	4.067418	0	0	1.355806	0	0	0	0	0	1.355806	0	1.355806	0	1.355806	1.355806	0	0	5.423224	0	0	0	0	0	0	0	0	0	0	2.711612	0	1.355806	0	1.355806	0	0	1.355806	0	1.355806	0	1.355806	2.711612	0	0	0	0	0	0	1.355806	0	0	0	0	0	0	2.711612	0	1.355806	1.355806	0	0	0	0	0	0	0	2.711612	4.067418	0	0	1.355806	0	1.355806	0	0	0	1.355806	0	1.355806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.835563	0	0.835563	0	2.50669	0.835563	0	0	0	0	0	1.671127	1.671127	0	0.835563	0	8.355634	0.835563	0	0	0	0.835563	0.835563	0	0.835563	0.835563	0	0	0	0	0	1.671127	0	0	0.835563	0	0	2.50669	0	0.835563	0	0	0	2.50669	0.835563	0.835563	0	0.835563	0	1.671127	0	0	0.835563	0.835563	0	0.835563	0.835563	0	0	0	1.671127	0	2.50669	0	0	0	0	0.835563	0.835563	1.671127	0	0	0.835563	0	0	1.671127	0	0	0.835563	0	0	0	0	0	0	0.835563	0.835563	0	1.671127	0	0	2.50669	0	1.671127	0	0
0	3.137726	0	0	1.568863	1.568863	0	0	1.568863	0	1.568863	0	4.70659	0	1.568863	1.568863	3.137726	0	0	0	3.137726	1.568863	1.568863	0	1.568863	0	0	0	0	0	0	0	0	0	0	0	0	1.568863	3.137726	0	1.568863	1.568863	0	0	0	0	0	0	1.568863	1.568863	0	0	0	0	1.568863	0	0	0	0	0	0	0	1.568863	0	0	0	0	0	0	0	0	0	0	3.137726	0	0	0	1.568863	1.568863	0	0	1.568863	0	0	0	0	0	0	0	0	0	0	0	0	1.568863	0	0	0	0	0	0
0	0	0	0	1.704222	0	0	0	0	0	1.704222	0	0	0	0	1.704222	1.704222	1.704222	3.408443	0	0	8.521108	1.704222	0	0	0	0	1.704222	0	0	0	0	0	0	0	0	0	1.704222	0	0	0	1.704222	0	0	1.704222	0	0	0	0	0	0	0	1.704222	0	0	0	0	0	1.704222	0	0	1.704222	1.704222	0	0	0	0	0	3.408443	0	1.704222	0	1.704222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1.236372	0	0	3.709117	0	0	0	0	2.472745	0	0	0	1.236372	1.236372	0	1.236372	1.236372	0	0	0	1.236372	1.236372	1.236372	0	0	0	1.236372	0	0	0	0	1.236372	0	0	0	1.236372	1.236372	0	7.418234	1.236372	1.236372	1.236372	0	0	0	0	1.236372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.236372	0	0	0	2.472745	3.709117	1.236372	1.236372	0	0	1.236372	0	0	0	0	0	0	0	0	0	1.236372	0	0	0	0	2.472745	0	0	0	0	0	0	0
0	0	0	0	1.364469	1.364469	0	0	0	0	1.364469	4.093408	2.728939	0	0	0	1.364469	2.728939	0	1.364469	1.364469	2.728939	0	1.364469	5.457877	0	0	0	0	1.364469	0	1.364469	0	0	0	0	1.364469	1.364469	0	1.364469	1.364469	1.364469	0	0	1.364469	0	0	0	0	1.364469	0	0	0	0	1.364469	1.364469	0	0	0	1.364469	1.364469	0	1.364469	0	0	1.364469	1.364469	0	0	0	0	0	0	0	0	0	1.364469	0	1.364469	0	0	0	1.364469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1.349416	1.349416	0	0	0.674708	2.024123	0.674708	0	0	0	0	0	0	0.674708	0	0	1.349416	0	0	0.674708	9.44591	0	0.674708	0.674708	0	0.674708	1.349416	2.024123	0	0.674708	0	0	0	0	1.349416	0.674708	0.674708	0.674708	0.674708	1.349416	1.349416	0	0	0	0	0.674708	0.674708	0.674708	0	0	0	2.024123	0	0.674708	0	0	0.674708	0	0	0.674708	0	0	0.674708	0	0	0	0	0	0	0	0.674708	0	0.674708	0	0.674708	0	0	0	0	0.674708	0.674708	0	0	0	0	0	0	0.674708	0	0	0.674708	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	1.033336	0	1.033336	1.033336	1.033336	0	1.033336	2.066672	2.066672	0	1.033336	0	0	0	0	0	0	0	0	0	0	0	0	1.033336	1.033336	1.033336	0	0	0	0	0	5.166681	0	2.066672	1.033336	2.066672	1.033336	0	0	0	0	0	0	0	1.033336	0	0	2.066672	0	0	0	0	0	0	0	0	1.033336	1.033336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.033336	3.100009	0	0	0	0	0	0	0	0	0	0	0
0	0	2.569211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.138422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.569211	0	2.569211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.569211	0	0	0	0	0	0	0	2.569211	0	0	0	5.138422	0	0	2.569211	0	0	0	0	0	2.569211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.065139	0	1.065139	0	1.065139	1.065139	1.065139	1.065139	0	0	3.195416	0	0	0	0	0	0	1.065139	0	0	1.065139	3.195416	1.065139	0	0	0	0	4.260554	0	0	0	1.065139	0	1.065139	0	0	0	0	0	0	0	3.195416	0	0	0	0	0	0	0	0	0	2.130277	0	0	1.065139	0	1.065139	2.130277	0	0	1.065139	0	1.065139	0	0	1.065139	0	0	0	2.130277	2.130277	1.065139	1.065139	0	3.195416	0	0	0	3.195416	0	0	0	1.065139	1.065139	0	0	0	0	0	0	0	0	0	0	1.065139	0	0	1.065139	0	0	0
0	0	0	0	0	0	0	0	0	1.338963	2.677926	1.338963	0	0	0	0	0	4.016889	0	1.338963	0	5.355852	1.338963	1.338963	0	0	1.338963	0	0	2.677926	1.338963	0	0	1.338963	1.338963	0	0	1.338963	0	0	4.016889	1.338963	0	0	2.677926	0	0	0	0	2.677926	0	0	1.338963	0	0	0	0	0	0	0	0	0	0	0	0	0	1.338963	0	0	2.677926	1.338963	0	0	0	2.677926	0	1.338963	0	0	0	1.338963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.338963	1.338963	0	0
0.634246	0	0	0	0	0	1.268491	0.634246	0	0	0.634246	0.634246	0	0	0	0.634246	0.634246	0.634246	0	0.634246	0	7.610948	0	0	0	0	0	3.171228	0	0	0	0	0	1.902737	0	0.634246	0	0	1.268491	0	3.171228	0.634246	0	0.634246	0	0	0.634246	0.634246	0.634246	0.634246	1.268491	0	0	0	1.268491	0	0	0	0	0	1.902737	0	1.902737	1.902737	0	0.634246	0.634246	0.634246	0	0	2.536983	0.634246	0.634246	0	1.268491	0	0	0	0.634246	0	0	0	0.634246	0	0	0	0	0.634246	0	0.634246	0	0	3.171228	0	0	0	0	0	0	0	0
